Fecha_Registro;Sede;Cliente;Convenio;Prestación;DescripcionExamen;Área;Cantidad;Monto Neto
2025-01-02;Santiago Centro;Particular;Particular;QUI-005;Creatinina;Química Clínica;7;31948
2025-01-02;Santiago Centro;Particular;Particular;END-001;TSH;Endocrinología;9;81232
2025-01-02;Santiago Centro;Particular;Particular;IMG-001;Radiografía de tórax;Imagenología;9;170790
2025-01-02;Santiago Centro;Particular;Particular;QUI-001;Perfil bioquímico;Química Clínica;8;124282
2025-01-02;Santiago Centro;Colegio San Martín;Empresa;QUI-004;Perfil hepático;Química Clínica;3;31740
2025-01-02;Santiago Centro;Seguro Vida Austral;Seguro;QUI-004;Perfil hepático;Química Clínica;8;80675
2025-01-02;Providencia;Minera Norte SpA;Empresa;MIC-002;Coprocultivo;Microbiología;5;46499
2025-01-02;Providencia;Isapre Cumbre;Isapre;KIN-001;Electrocardiograma;Cardiología;10;118697
2025-01-02;Providencia;Particular;Particular;END-003;Insulina basal;Endocrinología;6;57723
2025-01-02;Providencia;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;1;12615
2025-01-02;Providencia;Isapre Andina;Isapre;ORI-001;Orina completa;Orina;4;19438
2025-01-02;Providencia;Isapre Andina;Isapre;HEM-002;Perfil de coagulación;Hematología;7;73984
2025-01-02;Providencia;Isapre Andina;Isapre;GEN-002;Panel genético básico;Biología Molecular;5;264433
2025-01-02;Providencia;Fonasa;Institucional;IMG-002;Ecografía abdominal;Imagenología;6;209471
2025-01-02;Las Condes;Fonasa;Institucional;IMG-002;Ecografía abdominal;Imagenología;3;101023
2025-01-02;Las Condes;Isapre Cumbre;Isapre;INM-001;Vitamina D;Inmunología;5;65989
2025-01-02;Las Condes;Fonasa;Institucional;GEN-002;Panel genético básico;Biología Molecular;4;241953
2025-01-02;Las Condes;Municipalidad Demo;Institucional;HEM-001;Hemograma completo;Hematología;3;26588
2025-01-02;Las Condes;Clínica Asociada;Interclínico;QUI-002;Perfil lipídico;Química Clínica;8;76559
2025-01-02;Las Condes;Municipalidad Demo;Institucional;QUI-001;Perfil bioquímico;Química Clínica;7;108255
2025-01-02;Las Condes;Fonasa;Institucional;QUI-004;Perfil hepático;Química Clínica;2;22741
2025-01-02;Las Condes;Centro Deportivo Cordillera;Empresa;GEN-001;Test PCR respiratorio;Biología Molecular;7;153827
2025-01-02;Las Condes;Isapre Cumbre;Isapre;IMG-001;Radiografía de tórax;Imagenología;4;69448
2025-01-02;Las Condes;Particular;Particular;QUI-002;Perfil lipídico;Química Clínica;10;101819
2025-01-02;Maipú;Particular;Particular;QUI-005;Creatinina;Química Clínica;4;18800
2025-01-02;Maipú;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;8;194242
2025-01-02;Maipú;Seguro Vida Austral;Seguro;HEM-002;Perfil de coagulación;Hematología;3;31401
2025-01-02;Maipú;Fonasa;Institucional;END-002;Perfil tiroideo;Endocrinología;8;129438
2025-01-02;Maipú;Centro Deportivo Cordillera;Empresa;QUI-004;Perfil hepático;Química Clínica;6;62725
2025-01-02;Viña del Mar;Particular;Particular;QUI-001;Perfil bioquímico;Química Clínica;5;77815
2025-01-02;Viña del Mar;Isapre Cumbre;Isapre;QUI-003;Glicemia;Química Clínica;1;3726
2025-01-02;Viña del Mar;Particular;Particular;QUI-003;Glicemia;Química Clínica;4;16030
2025-01-02;Valparaíso;Centro Deportivo Cordillera;Empresa;HEM-002;Perfil de coagulación;Hematología;11;124820
2025-01-02;Valparaíso;Particular;Particular;END-001;TSH;Endocrinología;4;35008
2025-01-02;Concepción;Seguro Vida Austral;Seguro;IMG-003;Mamografía;Imagenología;6;153201
2025-01-02;Concepción;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;1;12042
2025-01-02;Concepción;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;10;130834
2025-01-02;Antofagasta;Isapre Cumbre;Isapre;KIN-001;Electrocardiograma;Cardiología;7;83648
2025-01-02;Antofagasta;Particular;Particular;HEM-002;Perfil de coagulación;Hematología;3;38533
2025-01-03;Santiago Centro;Fonasa;Institucional;END-003;Insulina basal;Endocrinología;11;112390
2025-01-03;Santiago Centro;Seguro Vida Austral;Seguro;END-001;TSH;Endocrinología;7;52671
2025-01-03;Santiago Centro;Colegio San Martín;Empresa;END-002;Perfil tiroideo;Endocrinología;6;87383
2025-01-03;Santiago Centro;Fonasa;Institucional;GEN-002;Panel genético básico;Biología Molecular;9;544928
2025-01-03;Santiago Centro;Particular;Particular;END-002;Perfil tiroideo;Endocrinología;5;81299
2025-01-03;Santiago Centro;Logística del Sur S.A.;Empresa;END-002;Perfil tiroideo;Endocrinología;9;131002
2025-01-03;Santiago Centro;Minera Norte SpA;Empresa;MIC-001;Urocultivo;Microbiología;6;49091
2025-01-03;Santiago Centro;Fonasa;Institucional;INM-003;Panel alergias;Inmunología;7;217134
2025-01-03;Santiago Centro;Fonasa;Institucional;ORI-001;Orina completa;Orina;4;22102
2025-01-03;Providencia;Minera Norte SpA;Empresa;GEN-002;Panel genético básico;Biología Molecular;4;197974
2025-01-03;Providencia;Fonasa;Institucional;GEN-002;Panel genético básico;Biología Molecular;9;530528
2025-01-03;Providencia;Particular;Particular;END-003;Insulina basal;Endocrinología;3;29721
2025-01-03;Providencia;Isapre Cumbre;Isapre;INM-001;Vitamina D;Inmunología;3;39140
2025-01-03;Providencia;Fonasa;Institucional;INM-003;Panel alergias;Inmunología;7;231533
2025-01-03;Las Condes;Fonasa;Institucional;IMG-001;Radiografía de tórax;Imagenología;3;58592
2025-01-03;Las Condes;Fonasa;Institucional;QUI-005;Creatinina;Química Clínica;2;9342
2025-01-03;Las Condes;Fonasa;Institucional;MIC-002;Coprocultivo;Microbiología;7;76927
2025-01-03;Las Condes;Fonasa;Institucional;KIN-001;Electrocardiograma;Cardiología;6;79322
2025-01-03;Las Condes;Isapre Andina;Isapre;INM-001;Vitamina D;Inmunología;6;78005
2025-01-03;Las Condes;Logística del Sur S.A.;Empresa;END-001;TSH;Endocrinología;4;29702
2025-01-03;Las Condes;Particular;Particular;END-001;TSH;Endocrinología;4;36484
2025-01-03;Las Condes;Isapre Andina;Isapre;QUI-001;Perfil bioquímico;Química Clínica;1;13211
2025-01-03;Las Condes;Isapre Cumbre;Isapre;INM-003;Panel alergias;Inmunología;7;200087
2025-01-03;Las Condes;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;3;77392
2025-01-03;Maipú;Seguro Vida Austral;Seguro;MIC-001;Urocultivo;Microbiología;6;49527
2025-01-03;Maipú;Fonasa;Institucional;IMG-001;Radiografía de tórax;Imagenología;11;202685
2025-01-03;Maipú;Colegio San Martín;Empresa;MIC-002;Coprocultivo;Microbiología;8;76268
2025-01-03;Viña del Mar;Isapre Andina;Isapre;INM-001;Vitamina D;Inmunología;11;150751
2025-01-03;Viña del Mar;Isapre Cumbre;Isapre;ORI-001;Orina completa;Orina;3;13889
2025-01-03;Viña del Mar;Seguro Vida Austral;Seguro;MIC-002;Coprocultivo;Microbiología;9;85319
2025-01-03;Viña del Mar;Particular;Particular;END-001;TSH;Endocrinología;2;17991
2025-01-03;Viña del Mar;Particular;Particular;ORI-001;Orina completa;Orina;3;15804
2025-01-03;Valparaíso;Isapre Cumbre;Isapre;END-001;TSH;Endocrinología;5;38433
2025-01-03;Valparaíso;Particular;Particular;END-001;TSH;Endocrinología;8;68785
2025-01-03;Valparaíso;Particular;Particular;QUI-005;Creatinina;Química Clínica;8;36956
2025-01-03;Valparaíso;Fonasa;Institucional;QUI-005;Creatinina;Química Clínica;7;33271
2025-01-03;Concepción;Logística del Sur S.A.;Empresa;HEM-001;Hemograma completo;Hematología;9;73002
2025-01-03;Concepción;Minera Norte SpA;Empresa;INM-003;Panel alergias;Inmunología;1;28024
2025-01-03;Concepción;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;6;55410
2025-01-03;Antofagasta;Seguro Vida Austral;Seguro;MIC-003;Test rápido Streptococo;Microbiología;1;6928
2025-01-03;Antofagasta;Fonasa;Institucional;HEM-001;Hemograma completo;Hematología;2;18330
2025-01-03;Antofagasta;Isapre Cumbre;Isapre;MIC-002;Coprocultivo;Microbiología;8;79221
2025-01-04;Santiago Centro;Seguro Vida Austral;Seguro;IMG-002;Ecografía abdominal;Imagenología;3;91666
2025-01-04;Santiago Centro;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;1;24107
2025-01-04;Santiago Centro;Particular;Particular;INM-001;Vitamina D;Inmunología;4;59823
2025-01-04;Santiago Centro;Fonasa;Institucional;INM-003;Panel alergias;Inmunología;2;64490
2025-01-04;Santiago Centro;Constructora Pacífico Ltda.;Empresa;MIC-003;Test rápido Streptococo;Microbiología;7;47497
2025-01-04;Santiago Centro;Isapre Andina;Isapre;INM-002;PCR ultrasensible;Inmunología;3;21533
2025-01-04;Santiago Centro;Particular;Particular;HEM-001;Hemograma completo;Hematología;3;27900
2025-01-04;Santiago Centro;Particular;Particular;HEM-001;Hemograma completo;Hematología;2;17752
2025-01-04;Santiago Centro;Particular;Particular;QUI-005;Creatinina;Química Clínica;2;9167
2025-01-04;Santiago Centro;Particular;Particular;INM-002;PCR ultrasensible;Inmunología;4;31973
2025-01-04;Santiago Centro;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;5;60695
2025-01-04;Providencia;Fonasa;Institucional;GEN-002;Panel genético básico;Biología Molecular;3;181099
2025-01-04;Providencia;Fonasa;Institucional;TOM-001;Toma de muestra domicilio;Servicios;4;30991
2025-01-04;Providencia;Particular;Particular;TOM-001;Toma de muestra domicilio;Servicios;5;38521
2025-01-04;Providencia;Colegio San Martín;Empresa;IMG-003;Mamografía;Imagenología;4;105587
2025-01-04;Providencia;Particular;Particular;IMG-001;Radiografía de tórax;Imagenología;1;18764
2025-01-04;Providencia;Fonasa;Institucional;ORI-001;Orina completa;Orina;3;15772
2025-01-04;Providencia;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;3;28871
2025-01-04;Las Condes;Isapre Cumbre;Isapre;MIC-001;Urocultivo;Microbiología;1;7833
2025-01-04;Las Condes;Isapre Andina;Isapre;GEN-001;Test PCR respiratorio;Biología Molecular;2;43991
2025-01-04;Las Condes;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;6;56998
2025-01-04;Las Condes;Isapre Andina;Isapre;INM-001;Vitamina D;Inmunología;5;64959
2025-01-04;Las Condes;Seguro Vida Austral;Seguro;END-001;TSH;Endocrinología;1;7847
2025-01-04;Maipú;Fonasa;Institucional;MIC-003;Test rápido Streptococo;Microbiología;2;16768
2025-01-04;Maipú;Particular;Particular;QUI-005;Creatinina;Química Clínica;2;8997
2025-01-04;Maipú;Isapre Andina;Isapre;END-002;Perfil tiroideo;Endocrinología;4;59465
2025-01-04;Viña del Mar;Particular;Particular;MIC-001;Urocultivo;Microbiología;3;27568
2025-01-04;Viña del Mar;Minera Norte SpA;Empresa;TOM-001;Toma de muestra domicilio;Servicios;1;6565
2025-01-04;Viña del Mar;Particular;Particular;END-003;Insulina basal;Endocrinología;3;28873
2025-01-04;Viña del Mar;Isapre Cumbre;Isapre;END-003;Insulina basal;Endocrinología;2;17517
2025-01-04;Valparaíso;Fonasa;Institucional;KIN-001;Electrocardiograma;Cardiología;1;13138
2025-01-04;Valparaíso;Fonasa;Institucional;END-001;TSH;Endocrinología;2;16739
2025-01-04;Valparaíso;Particular;Particular;QUI-002;Perfil lipídico;Química Clínica;3;29959
2025-01-04;Concepción;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;1;13829
2025-01-04;Concepción;Isapre Andina;Isapre;END-003;Insulina basal;Endocrinología;3;27391
2025-01-04;Antofagasta;Fonasa;Institucional;END-003;Insulina basal;Endocrinología;2;18838
2025-01-04;Antofagasta;Isapre Andina;Isapre;END-002;Perfil tiroideo;Endocrinología;3;43430
2025-01-04;Antofagasta;Logística del Sur S.A.;Empresa;GEN-001;Test PCR respiratorio;Biología Molecular;3;68158
2025-01-05;Santiago Centro;Isapre Andina;Isapre;MIC-003;Test rápido Streptococo;Microbiología;1;7112
2025-01-05;Santiago Centro;Fonasa;Institucional;HEM-002;Perfil de coagulación;Hematología;1;11921
2025-01-05;Providencia;Particular;Particular;MIC-003;Test rápido Streptococo;Microbiología;1;7738
2025-01-05;Providencia;Particular;Particular;IMG-002;Ecografía abdominal;Imagenología;1;36049
2025-01-05;Providencia;Particular;Particular;END-001;TSH;Endocrinología;1;8792
2025-01-05;Providencia;Constructora Pacífico Ltda.;Empresa;END-001;TSH;Endocrinología;1;7867
2025-01-05;Las Condes;Particular;Particular;IMG-002;Ecografía abdominal;Imagenología;1;36190
2025-01-05;Las Condes;Fonasa;Institucional;IMG-003;Mamografía;Imagenología;2;57211
2025-01-05;Maipú;Minera Norte SpA;Empresa;GEN-001;Test PCR respiratorio;Biología Molecular;1;21160
2025-01-05;Maipú;Particular;Particular;QUI-001;Perfil bioquímico;Química Clínica;1;14388
2025-01-05;Viña del Mar;Fonasa;Institucional;HEM-002;Perfil de coagulación;Hematología;1;12067
2025-01-05;Viña del Mar;Isapre Cumbre;Isapre;TOM-001;Toma de muestra domicilio;Servicios;1;6424
2025-01-05;Valparaíso;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;1;24147
2025-01-05;Valparaíso;Particular;Particular;END-001;TSH;Endocrinología;1;8828
2025-01-05;Concepción;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;1;11939
2025-01-05;Concepción;Isapre Andina;Isapre;IMG-002;Ecografía abdominal;Imagenología;1;30264
2025-01-05;Antofagasta;Fonasa;Institucional;INM-003;Panel alergias;Inmunología;1;32479
2025-01-05;Antofagasta;Particular;Particular;HEM-002;Perfil de coagulación;Hematología;1;12882
2025-01-06;Santiago Centro;Particular;Particular;END-001;TSH;Endocrinología;2;18203
2025-01-06;Santiago Centro;Constructora Pacífico Ltda.;Empresa;IMG-002;Ecografía abdominal;Imagenología;5;155819
2025-01-06;Santiago Centro;Constructora Pacífico Ltda.;Empresa;IMG-002;Ecografía abdominal;Imagenología;5;144820
2025-01-06;Santiago Centro;Minera Norte SpA;Empresa;MIC-003;Test rápido Streptococo;Microbiología;2;13939
2025-01-06;Santiago Centro;Clínica Asociada;Interclínico;MIC-001;Urocultivo;Microbiología;5;46620
2025-01-06;Santiago Centro;Fonasa;Institucional;QUI-001;Perfil bioquímico;Química Clínica;3;43900
2025-01-06;Santiago Centro;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;6;68415
2025-01-06;Santiago Centro;Isapre Cumbre;Isapre;END-003;Insulina basal;Endocrinología;4;35755
2025-01-06;Providencia;Particular;Particular;QUI-001;Perfil bioquímico;Química Clínica;5;78002
2025-01-06;Providencia;Fonasa;Institucional;ORI-001;Orina completa;Orina;8;43777
2025-01-06;Providencia;Particular;Particular;IMG-001;Radiografía de tórax;Imagenología;5;94674
2025-01-06;Providencia;Isapre Andina;Isapre;MIC-003;Test rápido Streptococo;Microbiología;6;43304
2025-01-06;Providencia;Minera Norte SpA;Empresa;QUI-005;Creatinina;Química Clínica;6;23773
2025-01-06;Providencia;Seguro Vida Austral;Seguro;MIC-003;Test rápido Streptococo;Microbiología;7;48007
2025-01-06;Las Condes;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;5;56902
2025-01-06;Las Condes;Particular;Particular;MIC-001;Urocultivo;Microbiología;14;134118
2025-01-06;Las Condes;Fonasa;Institucional;QUI-002;Perfil lipídico;Química Clínica;11;109392
2025-01-06;Las Condes;Particular;Particular;TOM-001;Toma de muestra domicilio;Servicios;5;37183
2025-01-06;Las Condes;Fonasa;Institucional;MIC-003;Test rápido Streptococo;Microbiología;11;86816
2025-01-06;Las Condes;Isapre Andina;Isapre;INM-003;Panel alergias;Inmunología;7;205130
2025-01-06;Las Condes;Particular;Particular;QUI-001;Perfil bioquímico;Química Clínica;10;145666
2025-01-06;Las Condes;Constructora Pacífico Ltda.;Empresa;MIC-001;Urocultivo;Microbiología;3;23722
2025-01-06;Las Condes;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;10;129340
2025-01-06;Las Condes;Isapre Andina;Isapre;GEN-002;Panel genético básico;Biología Molecular;4;204947
2025-01-06;Maipú;Fonasa;Institucional;IMG-001;Radiografía de tórax;Imagenología;6;118308
2025-01-06;Maipú;Colegio San Martín;Empresa;TOM-001;Toma de muestra domicilio;Servicios;3;19282
2025-01-06;Maipú;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;11;103276
2025-01-06;Maipú;Constructora Pacífico Ltda.;Empresa;INM-003;Panel alergias;Inmunología;7;209978
2025-01-06;Maipú;Constructora Pacífico Ltda.;Empresa;GEN-001;Test PCR respiratorio;Biología Molecular;9;188077
2025-01-06;Viña del Mar;Fonasa;Institucional;IMG-002;Ecografía abdominal;Imagenología;5;178451
2025-01-06;Viña del Mar;Particular;Particular;MIC-002;Coprocultivo;Microbiología;7;71936
2025-01-06;Viña del Mar;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;7;179206
2025-01-06;Viña del Mar;Particular;Particular;IMG-003;Mamografía;Imagenología;6;182245
2025-01-06;Valparaíso;Colegio San Martín;Empresa;IMG-001;Radiografía de tórax;Imagenología;1;16432
2025-01-06;Valparaíso;Fonasa;Institucional;TOM-001;Toma de muestra domicilio;Servicios;9;67776
2025-01-06;Valparaíso;Isapre Andina;Isapre;END-001;TSH;Endocrinología;3;23269
2025-01-06;Concepción;Minera Norte SpA;Empresa;MIC-001;Urocultivo;Microbiología;1;8483
2025-01-06;Concepción;Minera Norte SpA;Empresa;TOM-001;Toma de muestra domicilio;Servicios;8;53824
2025-01-06;Concepción;Seguro Vida Austral;Seguro;HEM-002;Perfil de coagulación;Hematología;3;32161
2025-01-06;Concepción;Particular;Particular;INM-002;PCR ultrasensible;Inmunología;5;39121
2025-01-06;Concepción;Isapre Andina;Isapre;QUI-004;Perfil hepático;Química Clínica;7;69097
2025-01-06;Concepción;Particular;Particular;INM-003;Panel alergias;Inmunología;4;135366
2025-01-06;Concepción;Particular;Particular;MIC-002;Coprocultivo;Microbiología;4;43795
2025-01-06;Antofagasta;Seguro Vida Austral;Seguro;MIC-002;Coprocultivo;Microbiología;7;69197
2025-01-06;Antofagasta;Isapre Cumbre;Isapre;QUI-004;Perfil hepático;Química Clínica;13;139175
2025-01-07;Santiago Centro;Particular;Particular;MIC-001;Urocultivo;Microbiología;5;45089
2025-01-07;Santiago Centro;Clínica Asociada;Interclínico;MIC-003;Test rápido Streptococo;Microbiología;3;23344
2025-01-07;Santiago Centro;Fonasa;Institucional;INM-002;PCR ultrasensible;Inmunología;1;7640
2025-01-07;Santiago Centro;Centro Deportivo Cordillera;Empresa;GEN-002;Panel genético básico;Biología Molecular;1;50508
2025-01-07;Santiago Centro;Particular;Particular;GEN-002;Panel genético básico;Biología Molecular;8;483052
2025-01-07;Santiago Centro;Minera Norte SpA;Empresa;END-003;Insulina basal;Endocrinología;1;8952
2025-01-07;Santiago Centro;Particular;Particular;INM-002;PCR ultrasensible;Inmunología;7;53238
2025-01-07;Santiago Centro;Minera Norte SpA;Empresa;GEN-002;Panel genético básico;Biología Molecular;8;415704
2025-01-07;Santiago Centro;Particular;Particular;QUI-002;Perfil lipídico;Química Clínica;10;96127
2025-01-07;Santiago Centro;Fonasa;Institucional;IMG-002;Ecografía abdominal;Imagenología;3;102101
2025-01-07;Santiago Centro;Particular;Particular;END-003;Insulina basal;Endocrinología;5;48018
2025-01-07;Providencia;Minera Norte SpA;Empresa;INM-002;PCR ultrasensible;Inmunología;1;7090
2025-01-07;Providencia;Particular;Particular;MIC-003;Test rápido Streptococo;Microbiología;5;42392
2025-01-07;Providencia;Particular;Particular;INM-001;Vitamina D;Inmunología;7;103221
2025-01-07;Providencia;Minera Norte SpA;Empresa;END-001;TSH;Endocrinología;3;23795
2025-01-07;Providencia;Isapre Cumbre;Isapre;INM-003;Panel alergias;Inmunología;12;338593
2025-01-07;Providencia;Constructora Pacífico Ltda.;Empresa;HEM-001;Hemograma completo;Hematología;5;38237
2025-01-07;Providencia;Particular;Particular;INM-002;PCR ultrasensible;Inmunología;4;31463
2025-01-07;Providencia;Constructora Pacífico Ltda.;Empresa;INM-002;PCR ultrasensible;Inmunología;2;13190
2025-01-07;Providencia;Particular;Particular;HEM-001;Hemograma completo;Hematología;1;8746
2025-01-07;Las Condes;Isapre Andina;Isapre;GEN-001;Test PCR respiratorio;Biología Molecular;12;273708
2025-01-07;Las Condes;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;8;70778
2025-01-07;Las Condes;Particular;Particular;HEM-002;Perfil de coagulación;Hematología;5;59502
2025-01-07;Las Condes;Seguro Vida Austral;Seguro;QUI-003;Glicemia;Química Clínica;10;36548
2025-01-07;Las Condes;Fonasa;Institucional;KIN-001;Electrocardiograma;Cardiología;5;66576
2025-01-07;Maipú;Isapre Cumbre;Isapre;MIC-001;Urocultivo;Microbiología;3;24568
2025-01-07;Maipú;Municipalidad Demo;Institucional;END-002;Perfil tiroideo;Endocrinología;1;16014
2025-01-07;Maipú;Fonasa;Institucional;MIC-002;Coprocultivo;Microbiología;4;42606
2025-01-07;Viña del Mar;Centro Deportivo Cordillera;Empresa;INM-002;PCR ultrasensible;Inmunología;1;6766
2025-01-07;Viña del Mar;Fonasa;Institucional;QUI-005;Creatinina;Química Clínica;4;19261
2025-01-07;Viña del Mar;Logística del Sur S.A.;Empresa;MIC-002;Coprocultivo;Microbiología;8;77092
2025-01-07;Viña del Mar;Centro Deportivo Cordillera;Empresa;HEM-002;Perfil de coagulación;Hematología;7;78574
2025-01-07;Viña del Mar;Particular;Particular;QUI-003;Glicemia;Química Clínica;7;30369
2025-01-07;Valparaíso;Isapre Andina;Isapre;IMG-002;Ecografía abdominal;Imagenología;8;238716
2025-01-07;Valparaíso;Particular;Particular;IMG-003;Mamografía;Imagenología;13;368139
2025-01-07;Valparaíso;Colegio San Martín;Empresa;QUI-003;Glicemia;Química Clínica;10;38063
2025-01-07;Concepción;Particular;Particular;HEM-001;Hemograma completo;Hematología;8;73253
2025-01-07;Concepción;Isapre Andina;Isapre;HEM-001;Hemograma completo;Hematología;8;60614
2025-01-07;Concepción;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;5;63119
2025-01-07;Concepción;Fonasa;Institucional;INM-002;PCR ultrasensible;Inmunología;7;54672
2025-01-07;Antofagasta;Logística del Sur S.A.;Empresa;HEM-002;Perfil de coagulación;Hematología;9;100439
2025-01-07;Antofagasta;Seguro Vida Austral;Seguro;GEN-002;Panel genético básico;Biología Molecular;2;106816
2025-01-07;Antofagasta;Particular;Particular;MIC-003;Test rápido Streptococo;Microbiología;6;50287
